university,campus,campus_id,term,term_id,department,department_id,course,course_id,section,section_id
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,BIO,106775330,4474,106775589,DSPA,106769412
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,BUS,106723553,001,106723710,ALL,106716270
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CHM,106775487,4474,106775590,DSPA,106769413
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6650,106568997,DSPA,106556015
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6650,106568997,DSPB,106769414
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6650,106568997,DSPC,106556016
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6657,106775591,DSPA,106769415
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6658,106775592,DSPA,106769416
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6659,106568998,DSPA,106556017
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6660,106568999,DSPA,106556018
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6670,106569000,DSPA,106556019
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,CP,106568950,6671,106569001,DSPA,106556020
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,ECE,106568951,4454,106775593,DSAA,106769417
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,ECE,106568951,4474,106775594,DSPA,106769418
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,ECE,106568951,5544,106569002,DSAA,106556021
TROY UNIVERSITY,DOTHAN CAMPUS,10741654,SPRING FULL TERM 22,106568719,ECE,106568951,6674,106569003,DSPA,106556022
